Round,nodes alive,sent,avg energy,max energy,min energy
755,0,0,0.992802,0.998042,0.866316
760,0,0,0.992755,0.998026,0.865524
765,0,0,0.992707,0.998015,0.864548
770,0,0,0.992656,0.997999,0.863756
775,0,0,0.992611,0.997986,0.862967
780,0,0,0.992563,0.997975,0.861991
785,0,0,0.992515,0.997964,0.861015
790,0,0,0.992467,0.997954,0.860039
795,0,0,0.992420,0.997938,0.859247
800,0,0,0.992374,0.997924,0.858459
805,0,0,0.992327,0.997913,0.857483
810,0,0,0.992279,0.997903,0.856507
815,0,0,0.992231,0.997892,0.855531
820,0,0,0.992183,0.997873,0.854926
825,0,0,0.992135,0.997863,0.853950
830,0,0,0.992088,0.997852,0.852974
835,0,0,0.992040,0.997841,0.851998
840,0,0,0.991992,0.997823,0.851393
845,0,0,0.991944,0.997812,0.850417
850,0,0,0.991896,0.997801,0.849441
855,0,0,0.991848,0.997791,0.848465
860,0,0,0.991803,0.997777,0.847676
865,0,0,0.991755,0.997766,0.846700
870,0,0,0.991707,0.997756,0.845724
875,0,0,0.991656,0.997740,0.844932
880,0,0,0.991609,0.997729,0.843956
885,0,0,0.991564,0.997709,0.843351
890,0,0,0.991516,0.997699,0.842375
895,0,0,0.991469,0.997688,0.841399
900,0,0,0.991418,0.997672,0.840607
905,0,0,0.991370,0.997662,0.839631
910,0,0,0.991323,0.997651,0.838655
915,0,0,0.991277,0.997637,0.837866
920,0,0,0.991229,0.997622,0.837074
925,0,0,0.991182,0.997611,0.836098
930,0,0,0.991134,0.997600,0.835122
935,0,0,0.991086,0.997590,0.834146
940,0,0,0.991038,0.997571,0.833541
945,0,0,0.990990,0.997560,0.832565
950,0,0,0.990942,0.997549,0.831589
955,0,0,0.990895,0.997533,0.830797
960,0,0,0.990847,0.997522,0.829821
965,0,0,0.990800,0.997512,0.828845
970,0,0,0.990752,0.997501,0.827869
975,0,0,0.990701,0.997485,0.827077
980,0,0,0.990656,0.997465,0.826472
985,0,0,0.990609,0.997455,0.825496
990,0,0,0.990561,0.997444,0.824520
995,0,0,0.990513,0.997434,0.823545
1000,0,0,0.990468,0.997420,0.822756
1005,0,0,0.990421,0.997403,0.821964
1010,0,0,0.990373,0.997393,0.820988
1015,0,0,0.990325,0.997382,0.820012
1020,0,0,0.990279,0.997368,0.819223
1025,0,0,0.990232,0.997352,0.818431
1030,0,0,0.990185,0.997341,0.817455
1035,0,0,0.990137,0.997330,0.816479
1040,0,0,0.990089,0.997320,0.815503
1045,0,0,0.990038,0.997304,0.814711
1050,0,0,0.989990,0.997293,0.813735
1055,0,0,0.989944,0.997277,0.812943
