Round,nodes alive,sent,avg energy,max energy,min energy
755,0,0,0.996867,0.999395,0.916854
760,0,0,0.996846,0.999391,0.916304
765,0,0,0.996826,0.999388,0.915760
770,0,0,0.996806,0.999384,0.915211
775,0,0,0.996784,0.999380,0.914655
780,0,0,0.996763,0.999376,0.914107
785,0,0,0.996743,0.999372,0.913558
790,0,0,0.996722,0.999367,0.913004
795,0,0,0.996701,0.999363,0.912450
800,0,0,0.996681,0.999359,0.911906
805,0,0,0.996660,0.999355,0.911348
810,0,0,0.996641,0.999352,0.910806
815,0,0,0.996621,0.999347,0.910258
820,0,0,0.996600,0.999343,0.909707
825,0,0,0.996580,0.999339,0.909160
830,0,0,0.996558,0.999335,0.908604
835,0,0,0.996538,0.999331,0.908056
840,0,0,0.996517,0.999328,0.907505
845,0,0,0.996497,0.999324,0.906960
850,0,0,0.996476,0.999320,0.906413
855,0,0,0.996456,0.999316,0.905861
860,0,0,0.996435,0.999311,0.905314
865,0,0,0.996413,0.999307,0.904757
870,0,0,0.996394,0.999303,0.904211
875,0,0,0.996372,0.999299,0.903661
880,0,0,0.996352,0.999295,0.903119
885,0,0,0.996331,0.999291,0.902563
890,0,0,0.996310,0.999287,0.902014
895,0,0,0.996289,0.999283,0.901466
900,0,0,0.996268,0.999279,0.900917
905,0,0,0.996247,0.999275,0.900363
910,0,0,0.996227,0.999271,0.899814
915,0,0,0.996206,0.999267,0.899261
920,0,0,0.996185,0.999263,0.898711
925,0,0,0.996164,0.999259,0.898161
930,0,0,0.996143,0.999255,0.897608
935,0,0,0.996123,0.999251,0.897063
940,0,0,0.996103,0.999247,0.896518
945,0,0,0.996082,0.999243,0.895963
950,0,0,0.996061,0.999240,0.895410
955,0,0,0.996041,0.999236,0.894866
960,0,0,0.996022,0.999232,0.894322
965,0,0,0.996001,0.999228,0.893774
970,0,0,0.995980,0.999224,0.893223
975,0,0,0.995958,0.999220,0.892669
980,0,0,0.995938,0.999216,0.892122
985,0,0,0.995917,0.999213,0.891573
990,0,0,0.995896,0.999208,0.891021
995,0,0,0.995876,0.999204,0.890469
1000,0,0,0.995855,0.999200,0.889915
1005,0,0,0.995833,0.999197,0.889355
1010,0,0,0.995812,0.999193,0.888803
1015,0,0,0.995790,0.999188,0.888253
1020,0,0,0.995770,0.999185,0.887705
1025,0,0,0.995749,0.999181,0.887156
1030,0,0,0.995728,0.999177,0.886607
1035,0,0,0.995707,0.999173,0.886058
1040,0,0,0.995686,0.999169,0.885501
1045,0,0,0.995665,0.999165,0.884951
1050,0,0,0.995644,0.999161,0.884396
1055,0,0,0.995623,0.999157,0.883843
1060,0,0,0.995602,0.999153,0.883294
1065,0,0,0.995581,0.999148,0.882741
1070,0,0,0.995561,0.999144,0.882191
1075,0,0,0.995539,0.999140,0.881640
1080,0,0,0.995519,0.999136,0.881092
1085,0,0,0.995498,0.999133,0.880540
1090,0,0,0.995477,0.999128,0.879990
1095,0,0,0.995456,0.999124,0.879439
1100,0,0,0.995435,0.999121,0.878890
1105,0,0,0.995414,0.999117,0.878337
1110,0,0,0.995393,0.999112,0.877783
1115,0,0,0.995371,0.999108,0.877229
1120,0,0,0.995350,0.999104,0.876681
1125,0,0,0.995330,0.999100,0.876132
1130,0,0,0.995309,0.999096,0.875585
1135,0,0,0.995288,0.999093,0.875034
1140,0,0,0.995267,0.999088,0.874478
1145,0,0,0.995245,0.999084,0.873926
1150,0,0,0.995225,0.999080,0.873378
1155,0,0,0.995204,0.999076,0.872826
1160,0,0,0.995184,0.999072,0.872275
1165,0,0,0.995163,0.999069,0.871726
1170,0,0,0.995141,0.999065,0.871172
1175,0,0,0.995121,0.999061,0.870629
1180,0,0,0.995100,0.999057,0.870083
1185,0,0,0.995079,0.999053,0.869529
1190,0,0,0.995058,0.999048,0.868978
