Round,nodes alive,sent,avg energy,max energy,min energy
1480,0,0,0.986746,0.997970,0.651206
1490,0,0,0.986658,0.997956,0.648984
1500,0,0,0.986568,0.997943,0.646530
1510,0,0,0.986480,0.997929,0.644308
1520,0,0,0.986389,0.997915,0.641854
1530,0,0,0.986301,0.997901,0.639633
1540,0,0,0.986211,0.997888,0.637179
1550,0,0,0.986120,0.997874,0.634725
1560,0,0,0.986032,0.997860,0.632503
1570,0,0,0.985941,0.997847,0.630049
1580,0,0,0.985853,0.997833,0.627828
1590,0,0,0.985763,0.997819,0.625374
1600,0,0,0.985675,0.997805,0.623152
1610,0,0,0.985584,0.997792,0.620698
1620,0,0,0.985493,0.997779,0.618244
1630,0,0,0.985406,0.997764,0.616023
1640,0,0,0.985315,0.997751,0.613569
1650,0,0,0.985227,0.997737,0.611347
1660,0,0,0.985136,0.997723,0.608893
1670,0,0,0.985046,0.997710,0.606439
1680,0,0,0.984958,0.997696,0.604217
1690,0,0,0.984867,0.997683,0.601764
1700,0,0,0.984779,0.997668,0.599542
1710,0,0,0.984689,0.997655,0.597088
1720,0,0,0.984601,0.997641,0.594866
1730,0,0,0.984510,0.997627,0.592412
1740,0,0,0.984419,0.997614,0.589958
1750,0,0,0.984332,0.997600,0.587737
1760,0,0,0.984241,0.997587,0.585283
1770,0,0,0.984153,0.997572,0.583061
1780,0,0,0.984062,0.997559,0.580607
1790,0,0,0.983975,0.997545,0.578385
1800,0,0,0.983884,0.997531,0.575932
1810,0,0,0.983793,0.997518,0.573478
1820,0,0,0.983705,0.997504,0.571256
1830,0,0,0.983614,0.997491,0.568802
1840,0,0,0.983527,0.997476,0.566580
1850,0,0,0.983436,0.997463,0.564126
1860,0,0,0.983345,0.997450,0.561673
1870,0,0,0.983257,0.997436,0.559451
1880,0,0,0.983167,0.997422,0.556997
1890,0,0,0.983079,0.997408,0.554775
1900,0,0,0.982988,0.997395,0.552321
1910,0,0,0.982900,0.997380,0.550100
1920,0,0,0.982809,0.997367,0.547646
1930,0,0,0.982722,0.997353,0.545424
1940,0,0,0.982631,0.997340,0.542970
1950,0,0,0.982543,0.997325,0.540748
1960,0,0,0.982452,0.997312,0.538295
1970,0,0,0.982362,0.997299,0.535841
1980,0,0,0.982274,0.997284,0.533619
1990,0,0,0.982183,0.997271,0.531165
2000,0,0,0.982095,0.997257,0.528943
2010,0,0,0.982005,0.997244,0.526489
2020,0,0,0.981917,0.997229,0.524268
2030,0,0,0.981826,0.997216,0.521814
2040,0,0,0.981735,0.997203,0.519360
2050,0,0,0.981647,0.997188,0.517138
2060,0,0,0.981557,0.997175,0.514684
2070,0,0,0.981469,0.997161,0.512463
2080,0,0,0.981378,0.997148,0.510009
2090,0,0,0.981287,0.997134,0.507555
2100,0,0,0.981200,0.997120,0.505333
2110,0,0,0.981109,0.997107,0.502879
2120,0,0,0.981021,0.997093,0.500657
2130,0,0,0.980930,0.997079,0.498204
2140,0,0,0.980843,0.997065,0.495982
2150,0,0,0.980752,0.997052,0.493528
2160,0,0,0.980661,0.997038,0.491074
2170,0,0,0.980573,0.997024,0.488852
2180,0,0,0.980483,0.997011,0.486399
2190,0,0,0.980395,0.996997,0.484177
2200,0,0,0.980304,0.996983,0.481723
2210,0,0,0.980213,0.996970,0.479269
2220,0,0,0.980125,0.996956,0.477047
2230,0,0,0.980035,0.996943,0.474593
2240,0,0,0.979947,0.996928,0.472372
2250,0,0,0.979856,0.996915,0.469918
2260,0,0,0.979768,0.996901,0.467696
2270,0,0,0.979678,0.996887,0.465242
2280,0,0,0.979587,0.996874,0.462788
2290,0,0,0.979499,0.996860,0.460567
2300,0,0,0.979408,0.996847,0.458113
2310,0,0,0.979321,0.996832,0.455891
2320,0,0,0.979230,0.996819,0.453437
2330,0,0,0.979139,0.996806,0.450983
2340,0,0,0.979051,0.996791,0.448761
2350,0,0,0.978960,0.996778,0.446308
2360,0,0,0.978873,0.996764,0.444086
2370,0,0,0.978782,0.996751,0.441632
2380,0,0,0.978691,0.996737,0.439178
2390,0,0,0.978604,0.996723,0.436956
2400,0,0,0.978513,0.996710,0.434503
2410,0,0,0.978425,0.996695,0.432281
2420,0,0,0.978334,0.996682,0.429827
2430,0,0,0.978246,0.996668,0.427605
2440,0,0,0.978156,0.996655,0.425151
2450,0,0,0.978065,0.996641,0.422697
2460,0,0,0.977977,0.996627,0.420476
2470,0,0,0.977886,0.996614,0.418022
2480,0,0,0.977798,0.996599,0.415800
2490,0,0,0.977708,0.996586,0.413346
2500,0,0,0.977617,0.996573,0.410892
2510,0,0,0.977529,0.996559,0.408671
2520,0,0,0.977438,0.996545,0.406217
2530,0,0,0.977351,0.996531,0.403995
2540,0,0,0.977260,0.996518,0.401541
2550,0,0,0.977172,0.996504,0.399319
2560,0,0,0.977081,0.996490,0.396865
2570,0,0,0.976991,0.996477,0.394412
2580,0,0,0.976903,0.996463,0.392190
2590,0,0,0.976812,0.996450,0.389736
2600,0,0,0.976724,0.996435,0.387514
2610,0,0,0.976634,0.996422,0.385060
2620,0,0,0.976543,0.996409,0.382606
2630,0,0,0.976455,0.996394,0.380385
2640,0,0,0.976364,0.996381,0.377931
2650,0,0,0.976276,0.996367,0.375709
2660,0,0,0.976186,0.996354,0.373255
2670,0,0,0.976098,0.996339,0.371033
2680,0,0,0.976007,0.996326,0.368580
2690,0,0,0.975916,0.996313,0.366126
2700,0,0,0.975829,0.996298,0.363904
2710,0,0,0.975738,0.996285,0.361450
2720,0,0,0.975650,0.996271,0.359228
2730,0,0,0.975559,0.996258,0.356775
2740,0,0,0.975469,0.996244,0.354321
2750,0,0,0.975381,0.996230,0.352099
2760,0,0,0.975290,0.996217,0.349645
2770,0,0,0.975202,0.996202,0.347423
2780,0,0,0.975111,0.996189,0.344969
2790,0,0,0.975024,0.996175,0.342748
2800,0,0,0.974933,0.996162,0.340294
2810,0,0,0.974842,0.996148,0.337840
2820,0,0,0.974754,0.996134,0.335618
2830,0,0,0.974664,0.996121,0.333164
2840,0,0,0.974576,0.996107,0.330943
2850,0,0,0.974485,0.996093,0.328489
2860,0,0,0.974397,0.996079,0.326267
2870,0,0,0.974307,0.996066,0.323813
2880,0,0,0.974216,0.996052,0.321359
2890,0,0,0.974128,0.996038,0.319137
2900,0,0,0.974037,0.996025,0.316684
2910,0,0,0.973950,0.996011,0.314462
2920,0,0,0.973859,0.995997,0.312008
2930,0,0,0.973771,0.995983,0.309786
2940,0,0,0.973680,0.995970,0.307332
2950,0,0,0.973592,0.995955,0.305111
2960,0,0,0.973502,0.995942,0.302657
2970,0,0,0.973414,0.995928,0.300435
2980,0,0,0.973323,0.995915,0.297981
2990,0,0,0.973232,0.995901,0.295527
3000,0,0,0.973145,0.995887,0.293306
3010,0,0,0.973054,0.995874,0.290852
3020,0,0,0.972966,0.995859,0.288630
3030,0,0,0.972875,0.995846,0.286176
3040,0,0,0.972788,0.995832,0.283954
3050,0,0,0.972697,0.995819,0.281500
3060,0,0,0.972606,0.995805,0.279047
3070,0,0,0.972518,0.995791,0.276825
3080,0,0,0.972428,0.995778,0.274371
3090,0,0,0.972340,0.995764,0.272149
3100,0,0,0.972249,0.995750,0.269695
3110,0,0,0.972161,0.995736,0.267474
3120,0,0,0.972070,0.995723,0.265020
3130,0,0,0.971979,0.995709,0.262566
3140,0,0,0.971892,0.995695,0.260344
3150,0,0,0.971801,0.995682,0.257890
3160,0,0,0.971713,0.995668,0.255668
3170,0,0,0.971622,0.995654,0.253215
3180,0,0,0.971532,0.995641,0.250761
3190,0,0,0.971444,0.995627,0.248539
3200,0,0,0.971353,0.995614,0.246085
3210,0,0,0.971265,0.995599,0.243863
