Round,nodes alive,sent,avg energy,max energy,min energy
1480,0,0,0.990085,0.997544,0.856880
1490,0,0,0.989998,0.997525,0.854899
1500,0,0,0.989946,0.997512,0.854364
1510,0,0,0.989870,0.997492,0.853327
1520,0,0,0.989807,0.997476,0.852544
1530,0,0,0.989733,0.997456,0.851265
1540,0,0,0.989666,0.997441,0.850014
1550,0,0,0.989592,0.997423,0.848509
1560,0,0,0.989537,0.997409,0.848206
1570,0,0,0.989478,0.997392,0.847420
1580,0,0,0.989421,0.997379,0.846883
1590,0,0,0.989339,0.997361,0.845148
1600,0,0,0.989283,0.997348,0.844373
1610,0,0,0.989205,0.997331,0.842882
1620,0,0,0.989152,0.997316,0.842346
1630,0,0,0.989076,0.997299,0.841070
1640,0,0,0.989018,0.997280,0.840767
1650,0,0,0.988937,0.997261,0.839246
1660,0,0,0.988879,0.997244,0.838697
1670,0,0,0.988804,0.997226,0.837650
1680,0,0,0.988744,0.997211,0.836637
1690,0,0,0.988665,0.997196,0.835144
1700,0,0,0.988605,0.997182,0.834593
1710,0,0,0.988526,0.997163,0.833082
1720,0,0,0.988470,0.997148,0.832544
1730,0,0,0.988391,0.997129,0.831028
1740,0,0,0.988339,0.997116,0.830727
1750,0,0,0.988262,0.997098,0.828986
1760,0,0,0.988203,0.997085,0.828215
1770,0,0,0.988130,0.997066,0.827171
1780,0,0,0.988067,0.997050,0.826385
1790,0,0,0.987987,0.997032,0.825124
1800,0,0,0.987930,0.997017,0.824346
1810,0,0,0.987855,0.997001,0.822845
1820,0,0,0.987799,0.996985,0.822532
1830,0,0,0.987728,0.996967,0.821507
1840,0,0,0.987670,0.996951,0.821187
1850,0,0,0.987595,0.996932,0.819918
1860,0,0,0.987536,0.996917,0.819148
1870,0,0,0.987461,0.996900,0.817869
1880,0,0,0.987399,0.996883,0.817330
1890,0,0,0.987328,0.996868,0.816294
1900,0,0,0.987269,0.996854,0.815759
1910,0,0,0.987193,0.996835,0.814483
1920,0,0,0.987130,0.996820,0.813703
1930,0,0,0.987056,0.996803,0.812192
1940,0,0,0.986995,0.996788,0.811660
1950,0,0,0.986914,0.996769,0.810142
1960,0,0,0.986858,0.996755,0.809605
1970,0,0,0.986787,0.996735,0.808567
1980,0,0,0.986728,0.996720,0.807788
1990,0,0,0.986652,0.996703,0.806527
2000,0,0,0.986594,0.996689,0.805980
2010,0,0,0.986517,0.996672,0.804489
2020,0,0,0.986461,0.996657,0.804170
2030,0,0,0.986388,0.996641,0.802675
2040,0,0,0.986331,0.996627,0.802132
2050,0,0,0.986257,0.996611,0.800635
2060,0,0,0.986201,0.996596,0.800095
2070,0,0,0.986120,0.996578,0.798581
2080,0,0,0.986063,0.996564,0.798050
2090,0,0,0.985982,0.996544,0.796531
2100,0,0,0.985918,0.996524,0.796208
2110,0,0,0.985838,0.996506,0.794464
2120,0,0,0.985778,0.996489,0.793673
2130,0,0,0.985699,0.996474,0.792170
2140,0,0,0.985638,0.996459,0.791386
2150,0,0,0.985559,0.996439,0.790121
2160,0,0,0.985500,0.996425,0.789571
2170,0,0,0.985435,0.996407,0.788787
2180,0,0,0.985369,0.996392,0.788013
2190,0,0,0.985298,0.996376,0.786752
2200,0,0,0.985241,0.996359,0.786213
2210,0,0,0.985172,0.996343,0.784952
2220,0,0,0.985113,0.996329,0.784177
2230,0,0,0.985035,0.996311,0.782432
2240,0,0,0.984981,0.996298,0.781901
2250,0,0,0.984904,0.996280,0.780163
2260,0,0,0.984840,0.996263,0.779372
2270,0,0,0.984762,0.996247,0.777876
2280,0,0,0.984701,0.996231,0.777094
2290,0,0,0.984631,0.996213,0.775832
2300,0,0,0.984566,0.996198,0.774820
2310,0,0,0.984483,0.996179,0.772840
2320,0,0,0.984423,0.996163,0.772302
2330,0,0,0.984351,0.996145,0.771045
2340,0,0,0.984291,0.996131,0.770269
2350,0,0,0.984217,0.996113,0.768988
2360,0,0,0.984159,0.996098,0.768443
2370,0,0,0.984083,0.996079,0.766940
2380,0,0,0.984025,0.996065,0.766160
2390,0,0,0.983942,0.996048,0.764648
2400,0,0,0.983882,0.996033,0.763871
2410,0,0,0.983805,0.996015,0.762600
2420,0,0,0.983746,0.996000,0.761821
2430,0,0,0.983673,0.995985,0.760553
2440,0,0,0.983610,0.995966,0.759766
2450,0,0,0.983532,0.995950,0.758028
2460,0,0,0.983472,0.995935,0.757244
2470,0,0,0.983397,0.995919,0.755745
2480,0,0,0.983338,0.995903,0.754958
2490,0,0,0.983263,0.995884,0.753937
2500,0,0,0.983209,0.995869,0.753395
2510,0,0,0.983125,0.995851,0.751652
2520,0,0,0.983067,0.995836,0.751356
2530,0,0,0.982994,0.995820,0.750087
2540,0,0,0.982933,0.995804,0.749543
2550,0,0,0.982873,0.995789,0.748768
2560,0,0,0.982818,0.995773,0.748453
2570,0,0,0.982745,0.995755,0.747185
2580,0,0,0.982695,0.995742,0.746883
2590,0,0,0.982617,0.995726,0.745380
2600,0,0,0.982564,0.995711,0.745082
2610,0,0,0.982489,0.995694,0.743577
2620,0,0,0.982432,0.995678,0.743277
2630,0,0,0.982352,0.995660,0.741527
2640,0,0,0.982292,0.995646,0.740752
2650,0,0,0.982211,0.995626,0.739244
2660,0,0,0.982149,0.995613,0.738458
2670,0,0,0.982071,0.995595,0.736721
2680,0,0,0.982009,0.995578,0.736166
2690,0,0,0.981948,0.995562,0.735611
2700,0,0,0.981892,0.995546,0.735071
2710,0,0,0.981828,0.995530,0.734285
2720,0,0,0.981773,0.995515,0.733749
2730,0,0,0.981693,0.995498,0.732007
2740,0,0,0.981639,0.995484,0.731468
2750,0,0,0.981556,0.995465,0.729727
2760,0,0,0.981499,0.995450,0.729177
2770,0,0,0.981413,0.995431,0.727188
2780,0,0,0.981356,0.995415,0.726644
2790,0,0,0.981273,0.995398,0.724662
2800,0,0,0.981216,0.995380,0.724110
2810,0,0,0.981151,0.995362,0.723323
2820,0,0,0.981085,0.995347,0.722537
2830,0,0,0.981016,0.995330,0.721284
2840,0,0,0.980960,0.995315,0.720976
2850,0,0,0.980896,0.995297,0.720198
2860,0,0,0.980838,0.995283,0.719654
2870,0,0,0.980754,0.995266,0.718157
2880,0,0,0.980705,0.995252,0.717858
2890,0,0,0.980635,0.995237,0.716593
2900,0,0,0.980571,0.995221,0.715583
2910,0,0,0.980487,0.995205,0.713605
2920,0,0,0.980432,0.995190,0.713062
2930,0,0,0.980359,0.995174,0.711568
2940,0,0,0.980297,0.995160,0.710549
2950,0,0,0.980227,0.995142,0.709286
2960,0,0,0.980174,0.995128,0.708743
2970,0,0,0.980102,0.995108,0.707944
2980,0,0,0.980033,0.995092,0.706924
2990,0,0,0.979952,0.995073,0.705406
3000,0,0,0.979897,0.995058,0.704867
3010,0,0,0.979832,0.995040,0.703843
3020,0,0,0.979780,0.995026,0.703540
3030,0,0,0.979710,0.995010,0.702274
